id,ligne,gare_depart,destination,position_gps,heure_de_captage
67,91,Place d'Italie,Raspail,"48.85499,2.34017",01/07/2025 09:33
67,91,Raspail,Gare Montparnasse,"48.85905,2.35383",01/07/2025 09:38
67,91,Gare Montparnasse,Montparnasse,"48.85371,2.34721",01/07/2025 09:43
68,91,Bastille,Gare de Lyon,"48.84348,2.35679",01/07/2025 09:26
68,91,Gare de Lyon,Place d'Italie,"48.84204,2.34208",01/07/2025 09:31
68,91,Place d'Italie,Raspail,"48.84604,2.34330",01/07/2025 09:36
68,91,Raspail,Gare Montparnasse,"48.85269,2.35558",01/07/2025 09:41
68,91,Gare Montparnasse,Montparnasse,"48.85625,2.34456",01/07/2025 09:46
69,91,Bastille,Gare de Lyon,"48.85110,2.35272",01/07/2025 09:29
69,91,Gare de Lyon,Place d'Italie,"48.85268,2.34753",01/07/2025 09:34
69,91,Place d'Italie,Raspail,"48.85299,2.35925",01/07/2025 09:39
69,91,Raspail,Gare Montparnasse,"48.84677,2.34796",01/07/2025 09:44
69,91,Gare Montparnasse,Montparnasse,"48.85848,2.34023",01/07/2025 09:49
70,91,Bastille,Gare de Lyon,"48.85708,2.35973",01/07/2025 09:32
70,91,Gare de Lyon,Place d'Italie,"48.85541,2.35467",01/07/2025 09:37
70,91,Place d'Italie,Raspail,"48.84929,2.35019",01/07/2025 09:42
70,91,Raspail,Gare Montparnasse,"48.84996,2.34209",01/07/2025 09:47
70,91,Gare Montparnasse,Montparnasse,"48.85339,2.34809",01/07/2025 09:52
71,96,Gare Montparnasse,Odéon,"48.85301,2.34001",01/07/2025 09:35
71,96,Odéon,Hôtel de Ville,"48.84519,2.34451",01/07/2025 09:40
71,96,Hôtel de Ville,République,"48.85365,2.35489",01/07/2025 09:45
71,96,République,Ménilmontant,"48.85804,2.35306",01/07/2025 09:50
71,96,Ménilmontant,Porte des Lilas,"48.84338,2.34339",01/07/2025 09:55
72,96,Gare Montparnasse,Odéon,"48.85414,2.34515",01/07/2025 09:38
72,96,Odéon,Hôtel de Ville,"48.85864,2.34205",01/07/2025 09:43
72,96,Hôtel de Ville,République,"48.84777,2.34110",01/07/2025 09:48
72,96,République,Ménilmontant,"48.84035,2.35793",01/07/2025 09:53
72,96,Ménilmontant,Porte des Lilas,"48.84670,2.35102",01/07/2025 09:58
73,96,Gare Montparnasse,Odéon,"48.84750,2.34081",01/07/2025 09:41
73,96,Odéon,Hôtel de Ville,"48.85412,2.35070",01/07/2025 09:46
73,96,Hôtel de Ville,République,"48.84104,2.35894",01/07/2025 09:51
73,96,République,Ménilmontant,"48.85519,2.35055",01/07/2025 09:56
73,96,Ménilmontant,Porte des Lilas,"48.84756,2.34709",01/07/2025 10:01
74,96,Gare Montparnasse,Odéon,"48.85592,2.34740",01/07/2025 09:44
74,96,Odéon,Hôtel de Ville,"48.84590,2.35757",01/07/2025 09:49
74,96,Hôtel de Ville,République,"48.85662,2.34649",01/07/2025 09:54
74,96,République,Ménilmontant,"48.85871,2.34172",01/07/2025 09:59
74,96,Ménilmontant,Porte des Lilas,"48.84481,2.34603",01/07/2025 10:04
75,96,Gare Montparnasse,Odéon,"48.85463,2.35242",01/07/2025 09:47
75,96,Odéon,Hôtel de Ville,"48.84093,2.34259",01/07/2025 09:52
75,96,Hôtel de Ville,République,"48.85549,2.34947",01/07/2025 09:57
75,96,République,Ménilmontant,"48.84703,2.34399",01/07/2025 10:02
75,96,Ménilmontant,Porte des Lilas,"48.85836,2.35725",01/07/2025 10:07
76,96,Gare Montparnasse,Odéon,"48.85110,2.35644",01/07/2025 09:50
76,96,Odéon,Hôtel de Ville,"48.84254,2.34561",01/07/2025 09:55
76,96,Hôtel de Ville,République,"48.85980,2.35382",01/07/2025 10:00
76,96,République,Ménilmontant,"48.84552,2.35959",01/07/2025 10:05
76,96,Ménilmontant,Porte des Lilas,"48.85558,2.35868",01/07/2025 10:10
77,96,Gare Montparnasse,Odéon,"48.84997,2.35221",01/07/2025 09:53
77,96,Odéon,Hôtel de Ville,"48.84176,2.35079",01/07/2025 09:58
77,96,Hôtel de Ville,République,"48.84701,2.34949",01/07/2025 10:03
77,96,République,Ménilmontant,"48.84829,2.34440",01/07/2025 10:08
77,96,Ménilmontant,Porte des Lilas,"48.85555,2.34885",01/07/2025 10:13
78,96,Gare Montparnasse,Odéon,"48.84971,2.35085",01/07/2025 09:56
78,96,Odéon,Hôtel de Ville,"48.85483,2.34003",01/07/2025 10:01
78,96,Hôtel de Ville,République,"48.84882,2.34517",01/07/2025 10:06
78,96,République,Ménilmontant,"48.85411,2.34609",01/07/2025 10:11
78,96,Ménilmontant,Porte des Lilas,"48.84178,2.34428",01/07/2025 10:16
79,96,Gare Montparnasse,Odéon,"48.85147,2.34723",01/07/2025 09:59
79,96,Odéon,Hôtel de Ville,"48.84519,2.35269",01/07/2025 10:04
79,96,Hôtel de Ville,République,"48.84385,2.35152",01/07/2025 10:09
79,96,République,Ménilmontant,"48.85754,2.35895",01/07/2025 10:14
79,96,Ménilmontant,Porte des Lilas,"48.85562,2.35967",01/07/2025 10:19
80,96,Gare Montparnasse,Odéon,"48.85217,2.35746",01/07/2025 10:02
80,96,Odéon,Hôtel de Ville,"48.85925,2.35246",01/07/2025 10:07
80,96,Hôtel de Ville,République,"48.85327,2.35117",01/07/2025 10:12
80,96,République,Ménilmontant,"48.85446,2.34511",01/07/2025 10:17
80,96,Ménilmontant,Porte des Lilas,"48.85613,2.34091",01/07/2025 10:22
81,27,Gare Saint-Lazare,Opéra,"48.84531,2.35950",01/07/2025 10:05
81,27,Opéra,Châtelet,"48.85892,2.34508",01/07/2025 10:10
81,27,Châtelet,Gare d'Austerlitz,"48.84397,2.34499",01/07/2025 10:15
81,27,Gare d'Austerlitz,Bibliothèque,"48.85248,2.35078",01/07/2025 10:20
81,27,Bibliothèque,Porte d’Ivry,"48.85237,2.34810",01/07/2025 10:25
82,27,Gare Saint-Lazare,Opéra,"48.84406,2.34136",01/07/2025 10:08
82,27,Opéra,Châtelet,"48.84008,2.35642",01/07/2025 10:13
82,27,Châtelet,Gare d'Austerlitz,"48.84010,2.35091",01/07/2025 10:18
82,27,Gare d'Austerlitz,Bibliothèque,"48.85769,2.34972",01/07/2025 10:23
82,27,Bibliothèque,Porte d’Ivry,"48.84577,2.34954",01/07/2025 10:28
83,27,Gare Saint-Lazare,Opéra,"48.84358,2.35872",01/07/2025 10:11
83,27,Opéra,Châtelet,"48.85749,2.35056",01/07/2025 10:16
83,27,Châtelet,Gare d'Austerlitz,"48.85816,2.34887",01/07/2025 10:21
83,27,Gare d'Austerlitz,Bibliothèque,"48.84584,2.35479",01/07/2025 10:26
83,27,Bibliothèque,Porte d’Ivry,"48.84355,2.35669",01/07/2025 10:31
84,27,Gare Saint-Lazare,Opéra,"48.85859,2.35221",01/07/2025 10:14
84,27,Opéra,Châtelet,"48.85964,2.35574",01/07/2025 10:19
84,27,Châtelet,Gare d'Austerlitz,"48.84021,2.34113",01/07/2025 10:24
84,27,Gare d'Austerlitz,Bibliothèque,"48.84810,2.35585",01/07/2025 10:29
84,27,Bibliothèque,Porte d’Ivry,"48.84044,2.35035",01/07/2025 10:34
85,27,Gare Saint-Lazare,Opéra,"48.85152,2.34352",01/07/2025 10:17
85,27,Opéra,Châtelet,"48.85570,2.34605",01/07/2025 10:22
85,27,Châtelet,Gare d'Austerlitz,"48.84183,2.35148",01/07/2025 10:27
85,27,Gare d'Austerlitz,Bibliothèque,"48.85528,2.35770",01/07/2025 10:32
85,27,Bibliothèque,Porte d’Ivry,"48.85043,2.34216",01/07/2025 10:37
86,27,Gare Saint-Lazare,Opéra,"48.84577,2.35149",01/07/2025 10:20
86,27,Opéra,Châtelet,"48.84288,2.34585",01/07/2025 10:25
86,27,Châtelet,Gare d'Austerlitz,"48.84925,2.34652",01/07/2025 10:30
86,27,Gare d'Austerlitz,Bibliothèque,"48.85909,2.35602",01/07/2025 10:35
86,27,Bibliothèque,Porte d’Ivry,"48.84664,2.35389",01/07/2025 10:40
87,27,Gare Saint-Lazare,Opéra,"48.84695,2.34364",01/07/2025 10:23
87,27,Opéra,Châtelet,"48.85012,2.35862",01/07/2025 10:28
87,27,Châtelet,Gare d'Austerlitz,"48.85435,2.34890",01/07/2025 10:33
87,27,Gare d'Austerlitz,Bibliothèque,"48.85294,2.34241",01/07/2025 10:38
87,27,Bibliothèque,Porte d’Ivry,"48.85194,2.35959",01/07/2025 10:43
88,27,Gare Saint-Lazare,Opéra,"48.84222,2.34466",01/07/2025 10:26
88,27,Opéra,Châtelet,"48.85337,2.35003",01/07/2025 10:31
88,27,Châtelet,Gare d'Austerlitz,"48.85458,2.35968",01/07/2025 10:36
88,27,Gare d'Austerlitz,Bibliothèque,"48.85917,2.35498",01/07/2025 10:41
88,27,Bibliothèque,Porte d’Ivry,"48.85573,2.35592",01/07/2025 10:46
89,27,Gare Saint-Lazare,Opéra,"48.84190,2.35735",01/07/2025 10:29
89,27,Opéra,Châtelet,"48.85386,2.35222",01/07/2025 10:34
89,27,Châtelet,Gare d'Austerlitz,"48.85382,2.35209",01/07/2025 10:39
89,27,Gare d'Austerlitz,Bibliothèque,"48.85883,2.34942",01/07/2025 10:44
89,27,Bibliothèque,Porte d’Ivry,"48.85778,2.35766",01/07/2025 10:49
90,27,Gare Saint-Lazare,Opéra,"48.84121,2.35648",01/07/2025 10:32
90,27,Opéra,Châtelet,"48.84800,2.35270",01/07/2025 10:37
90,27,Châtelet,Gare d'Austerlitz,"48.84382,2.34025",01/07/2025 10:42
90,27,Gare d'Austerlitz,Bibliothèque,"48.84991,2.35244",01/07/2025 10:47
90,27,Bibliothèque,Porte d’Ivry,"48.85756,2.34238",01/07/2025 10:52
91,69,Champ de Mars,Invalides,"48.85643,2.35037",01/07/2025 10:35
91,69,Invalides,Louvre,"48.84026,2.35755",01/07/2025 10:40
91,69,Louvre,Bastille,"48.85410,2.34149",01/07/2025 10:45
91,69,Bastille,Père Lachaise,"48.85716,2.35156",01/07/2025 10:50
91,69,Père Lachaise,Gambetta,"48.84937,2.35639",01/07/2025 10:55
92,69,Champ de Mars,Invalides,"48.84236,2.35409",01/07/2025 10:38
92,69,Invalides,Louvre,"48.85760,2.34763",01/07/2025 10:43
92,69,Louvre,Bastille,"48.84321,2.35040",01/07/2025 10:48
92,69,Bastille,Père Lachaise,"48.84663,2.35592",01/07/2025 10:53
92,69,Père Lachaise,Gambetta,"48.85506,2.35867",01/07/2025 10:58
93,69,Champ de Mars,Invalides,"48.84455,2.34913",01/07/2025 10:41
93,69,Invalides,Louvre,"48.84450,2.35522",01/07/2025 10:46
93,69,Louvre,Bastille,"48.85336,2.34215",01/07/2025 10:51
93,69,Bastille,Père Lachaise,"48.85736,2.35935",01/07/2025 10:56
93,69,Père Lachaise,Gambetta,"48.85773,2.34364",01/07/2025 11:01
94,69,Champ de Mars,Invalides,"48.84204,2.35540",01/07/2025 10:44
94,69,Invalides,Louvre,"48.85307,2.34649",01/07/2025 10:49
94,69,Louvre,Bastille,"48.84986,2.34151",01/07/2025 10:54
94,69,Bastille,Père Lachaise,"48.84417,2.34987",01/07/2025 10:59
94,69,Père Lachaise,Gambetta,"48.84559,2.34749",01/07/2025 11:04
95,69,Champ de Mars,Invalides,"48.85110,2.35176",01/07/2025 10:47
95,69,Invalides,Louvre,"48.85894,2.35874",01/07/2025 10:52
95,69,Louvre,Bastille,"48.84622,2.35760",01/07/2025 10:57
95,69,Bastille,Père Lachaise,"48.84685,2.35773",01/07/2025 11:02
95,69,Père Lachaise,Gambetta,"48.85547,2.34535",01/07/2025 11:07
96,69,Champ de Mars,Invalides,"48.84631,2.34298",01/07/2025 10:50
96,69,Invalides,Louvre,"48.84852,2.34349",01/07/2025 10:55
96,69,Louvre,Bastille,"48.84867,2.34729",01/07/2025 11:00
96,69,Bastille,Père Lachaise,"48.84476,2.35954",01/07/2025 11:05
96,69,Père Lachaise,Gambetta,"48.84017,2.34446",01/07/2025 11:10
97,69,Champ de Mars,Invalides,"48.85250,2.34259",01/07/2025 10:53
97,69,Invalides,Louvre,"48.84127,2.34913",01/07/2025 10:58
97,69,Louvre,Bastille,"48.84135,2.35074",01/07/2025 11:03
97,69,Bastille,Père Lachaise,"48.84068,2.34015",01/07/2025 11:08
97,69,Père Lachaise,Gambetta,"48.85057,2.34943",01/07/2025 11:13
98,69,Champ de Mars,Invalides,"48.84978,2.34897",01/07/2025 10:56
98,69,Invalides,Louvre,"48.84238,2.35112",01/07/2025 11:01
98,69,Louvre,Bastille,"48.84101,2.34226",01/07/2025 11:06
98,69,Bastille,Père Lachaise,"48.85230,2.35368",01/07/2025 11:11
98,69,Père Lachaise,Gambetta,"48.85324,2.34726",01/07/2025 11:16
99,69,Champ de Mars,Invalides,"48.84344,2.35681",01/07/2025 10:59
99,69,Invalides,Louvre,"48.85230,2.35734",01/07/2025 11:04
99,69,Louvre,Bastille,"48.84096,2.34683",01/07/2025 11:09
99,69,Bastille,Père Lachaise,"48.84534,2.34935",01/07/2025 11:14
99,69,Père Lachaise,Gambetta,"48.85827,2.35072",01/07/2025 11:19
100,69,Champ de Mars,Invalides,"48.85123,2.34878",01/07/2025 11:02
100,69,Invalides,Louvre,"48.84229,2.34569",01/07/2025 11:07
100,69,Louvre,Bastille,"48.85311,2.34629",01/07/2025 11:12
100,69,Bastille,Père Lachaise,"48.84381,2.34663",01/07/2025 11:17
100,69,Père Lachaise,Gambetta,"48.85087,2.35276",01/07/2025 11:22
101,24,Pont Neuf,Châtelet,"48.84523,2.35834",01/07/2025 11:05
101,24,Châtelet,Odéon,"48.85721,2.35939",01/07/2025 11:10
101,24,Odéon,Invalides,"48.84988,2.35669",01/07/2025 11:15
101,24,Invalides,École Militaire,"48.85590,2.34791",01/07/2025 11:20
102,24,Pont Neuf,Châtelet,"48.84326,2.35483",01/07/2025 11:08
102,24,Châtelet,Odéon,"48.85786,2.34516",01/07/2025 11:13
102,24,Odéon,Invalides,"48.85136,2.34548",01/07/2025 11:18
102,24,Invalides,École Militaire,"48.84521,2.35860",01/07/2025 11:23
103,24,Pont Neuf,Châtelet,"48.85287,2.34424",01/07/2025 11:11
103,24,Châtelet,Odéon,"48.85274,2.35579",01/07/2025 11:16
103,24,Odéon,Invalides,"48.85971,2.35095",01/07/2025 11:21
103,24,Invalides,École Militaire,"48.85489,2.35787",01/07/2025 11:26
104,24,Pont Neuf,Châtelet,"48.85722,2.34928",01/07/2025 11:14
104,24,Châtelet,Odéon,"48.85545,2.34110",01/07/2025 11:19
104,24,Odéon,Invalides,"48.84502,2.35413",01/07/2025 11:24
104,24,Invalides,École Militaire,"48.84591,2.34530",01/07/2025 11:29
105,24,Pont Neuf,Châtelet,"48.85338,2.35163",01/07/2025 11:17
105,24,Châtelet,Odéon,"48.84704,2.34453",01/07/2025 11:22
105,24,Odéon,Invalides,"48.85692,2.34119",01/07/2025 11:27
105,24,Invalides,École Militaire,"48.85847,2.34686",01/07/2025 11:32
106,24,Pont Neuf,Châtelet,"48.85110,2.34691",01/07/2025 11:20
106,24,Châtelet,Odéon,"48.85532,2.35386",01/07/2025 11:25
106,24,Odéon,Invalides,"48.84495,2.35045",01/07/2025 11:30
106,24,Invalides,École Militaire,"48.84727,2.35848",01/07/2025 11:35
107,24,Pont Neuf,Châtelet,"48.84535,2.35673",01/07/2025 11:23
107,24,Châtelet,Odéon,"48.84245,2.34386",01/07/2025 11:28
107,24,Odéon,Invalides,"48.84445,2.35326",01/07/2025 11:33
107,24,Invalides,École Militaire,"48.84342,2.35898",01/07/2025 11:38
108,24,Pont Neuf,Châtelet,"48.84626,2.35953",01/07/2025 11:26
108,24,Châtelet,Odéon,"48.84920,2.34801",01/07/2025 11:31
108,24,Odéon,Invalides,"48.85673,2.34198",01/07/2025 11:36
108,24,Invalides,École Militaire,"48.84127,2.35130",01/07/2025 11:41
109,24,Pont Neuf,Châtelet,"48.85975,2.34768",01/07/2025 11:29
109,24,Châtelet,Odéon,"48.84686,2.35315",01/07/2025 11:34
109,24,Odéon,Invalides,"48.84220,2.35737",01/07/2025 11:39
109,24,Invalides,École Militaire,"48.84756,2.34295",01/07/2025 11:44
110,24,Pont Neuf,Châtelet,"48.85686,2.34277",01/07/2025 11:32
110,24,Châtelet,Odéon,"48.84163,2.35677",01/07/2025 11:37
110,24,Odéon,Invalides,"48.84580,2.34003",01/07/2025 11:42
110,24,Invalides,École Militaire,"48.85711,2.34554",01/07/2025 11:47
111,52,La Muette,Trocadéro,"48.84673,2.35637",01/07/2025 11:35
111,52,Trocadéro,Champs-Élysées,"48.85864,2.34027",01/07/2025 11:40
111,52,Champs-Élysées,Madeleine,"48.84292,2.34135",01/07/2025 11:45
111,52,Madeleine,Opéra,"48.84835,2.35891",01/07/2025 11:50
112,52,La Muette,Trocadéro,"48.85353,2.34558",01/07/2025 11:38
112,52,Trocadéro,Champs-Élysées,"48.85370,2.34944",01/07/2025 11:43
112,52,Champs-Élysées,Madeleine,"48.85111,2.35580",01/07/2025 11:48
112,52,Madeleine,Opéra,"48.84739,2.34517",01/07/2025 11:53
113,52,La Muette,Trocadéro,"48.85567,2.35897",01/07/2025 11:41
113,52,Trocadéro,Champs-Élysées,"48.85788,2.34190",01/07/2025 11:46
113,52,Champs-Élysées,Madeleine,"48.84431,2.34861",01/07/2025 11:51
113,52,Madeleine,Opéra,"48.84600,2.34963",01/07/2025 11:56
114,52,La Muette,Trocadéro,"48.85586,2.35252",01/07/2025 11:44
114,52,Trocadéro,Champs-Élysées,"48.84351,2.34333",01/07/2025 11:49
114,52,Champs-Élysées,Madeleine,"48.85318,2.35746",01/07/2025 11:54
114,52,Madeleine,Opéra,"48.84498,2.35820",01/07/2025 11:59
115,52,La Muette,Trocadéro,"48.85582,2.35390",01/07/2025 11:47
115,52,Trocadéro,Champs-Élysées,"48.84951,2.35782",01/07/2025 11:52
115,52,Champs-Élysées,Madeleine,"48.85946,2.35587",01/07/2025 11:57
115,52,Madeleine,Opéra,"48.85895,2.34907",01/07/2025 12:02
116,52,La Muette,Trocadéro,"48.84529,2.35450",01/07/2025 11:50
116,52,Trocadéro,Champs-Élysées,"48.84081,2.34047",01/07/2025 11:55
116,52,Champs-Élysées,Madeleine,"48.85448,2.35759",01/07/2025 12:00
116,52,Madeleine,Opéra,"48.85959,2.35550",01/07/2025 12:05
117,52,La Muette,Trocadéro,"48.84708,2.35857",01/07/2025 11:53
117,52,Trocadéro,Champs-Élysées,"48.85164,2.35163",01/07/2025 11:58
117,52,Champs-Élysées,Madeleine,"48.84428,2.34968",01/07/2025 12:03
117,52,Madeleine,Opéra,"48.85390,2.35796",01/07/2025 12:08
118,52,La Muette,Trocadéro,"48.85446,2.34443",01/07/2025 11:56
118,52,Trocadéro,Champs-Élysées,"48.84712,2.34752",01/07/2025 12:01
118,52,Champs-Élysées,Madeleine,"48.85054,2.35872",01/07/2025 12:06
118,52,Madeleine,Opéra,"48.84727,2.35470",01/07/2025 12:11
119,52,La Muette,Trocadéro,"48.84577,2.35698",01/07/2025 11:59
119,52,Trocadéro,Champs-Élysées,"48.84285,2.34570",01/07/2025 12:04
119,52,Champs-Élysées,Madeleine,"48.85315,2.34291",01/07/2025 12:09
119,52,Madeleine,Opéra,"48.85695,2.34659",01/07/2025 12:14
120,52,La Muette,Trocadéro,"48.85773,2.35488",01/07/2025 12:02
120,52,Trocadéro,Champs-Élysées,"48.85001,2.35715",01/07/2025 12:07
120,52,Champs-Élysées,Madeleine,"48.85927,2.35774",01/07/2025 12:12
120,52,Madeleine,Opéra,"48.84432,2.34912",01/07/2025 12:17
121,73,La Défense,Neuilly,"48.84065,2.34400",01/07/2025 12:05
121,73,Neuilly,Porte Maillot,"48.84918,2.35421",01/07/2025 12:10
121,73,Porte Maillot,Concorde,"48.84389,2.34237",01/07/2025 12:15
121,73,Concorde,Musée d'Orsay,"48.85917,2.34318",01/07/2025 12:20
122,73,La Défense,Neuilly,"48.85422,2.34051",01/07/2025 12:08
122,73,Neuilly,Porte Maillot,"48.85287,2.35824",01/07/2025 12:13
122,73,Porte Maillot,Concorde,"48.85640,2.35855",01/07/2025 12:18
122,73,Concorde,Musée d'Orsay,"48.84946,2.34664",01/07/2025 12:23
123,73,La Défense,Neuilly,"48.85792,2.34564",01/07/2025 12:11
123,73,Neuilly,Porte Maillot,"48.85984,2.34814",01/07/2025 12:16
123,73,Porte Maillot,Concorde,"48.85472,2.35686",01/07/2025 12:21
123,73,Concorde,Musée d'Orsay,"48.84944,2.35457",01/07/2025 12:26
124,73,La Défense,Neuilly,"48.84759,2.34419",01/07/2025 12:14
124,73,Neuilly,Porte Maillot,"48.85386,2.35005",01/07/2025 12:19
124,73,Porte Maillot,Concorde,"48.84191,2.34242",01/07/2025 12:24
124,73,Concorde,Musée d'Orsay,"48.84720,2.35530",01/07/2025 12:29
125,73,La Défense,Neuilly,"48.84962,2.34216",01/07/2025 12:17
125,73,Neuilly,Porte Maillot,"48.85693,2.34747",01/07/2025 12:22
125,73,Porte Maillot,Concorde,"48.84135,2.34729",01/07/2025 12:27
125,73,Concorde,Musée d'Orsay,"48.85637,2.35491",01/07/2025 12:32
126,73,La Défense,Neuilly,"48.84690,2.34435",01/07/2025 12:20
126,73,Neuilly,Porte Maillot,"48.85655,2.35684",01/07/2025 12:25
126,73,Porte Maillot,Concorde,"48.85345,2.35039",01/07/2025 12:30
126,73,Concorde,Musée d'Orsay,"48.84122,2.34384",01/07/2025 12:35
127,73,La Défense,Neuilly,"48.85677,2.35613",01/07/2025 12:23
127,73,Neuilly,Porte Maillot,"48.84158,2.35263",01/07/2025 12:28
127,73,Porte Maillot,Concorde,"48.84734,2.35575",01/07/2025 12:33
127,73,Concorde,Musée d'Orsay,"48.84813,2.34853",01/07/2025 12:38
128,73,La Défense,Neuilly,"48.84097,2.34736",01/07/2025 12:26
128,73,Neuilly,Porte Maillot,"48.84080,2.34403",01/07/2025 12:31
128,73,Porte Maillot,Concorde,"48.85331,2.35412",01/07/2025 12:36
128,73,Concorde,Musée d'Orsay,"48.84116,2.34650",01/07/2025 12:41
129,73,La Défense,Neuilly,"48.84334,2.35266",01/07/2025 12:29
129,73,Neuilly,Porte Maillot,"48.85687,2.35993",01/07/2025 12:34
129,73,Porte Maillot,Concorde,"48.85908,2.34249",01/07/2025 12:39
129,73,Concorde,Musée d'Orsay,"48.85971,2.35497",01/07/2025 12:44
130,73,La Défense,Neuilly,"48.85253,2.34220",01/07/2025 12:32
130,73,Neuilly,Porte Maillot,"48.85368,2.35870",01/07/2025 12:37
130,73,Porte Maillot,Concorde,"48.84250,2.34436",01/07/2025 12:42
130,73,Concorde,Musée d'Orsay,"48.85675,2.35159",01/07/2025 12:47
131,30,Porte Maillot,Ternes,"48.84882,2.35885",01/07/2025 12:35
131,30,Ternes,Place de Clichy,"48.85412,2.34079",01/07/2025 12:40
131,30,Place de Clichy,Gare du Nord,"48.84808,2.34935",01/07/2025 12:45
131,30,Gare du Nord,Gare de l'Est,"48.84794,2.35427",01/07/2025 12:50
132,30,Porte Maillot,Ternes,"48.85896,2.34470",01/07/2025 12:38
132,30,Ternes,Place de Clichy,"48.84518,2.35517",01/07/2025 12:43
132,30,Place de Clichy,Gare du Nord,"48.85578,2.35294",01/07/2025 12:48
132,30,Gare du Nord,Gare de l'Est,"48.84215,2.34066",01/07/2025 12:53
133,30,Porte Maillot,Ternes,"48.85557,2.34265",01/07/2025 12:41
133,30,Ternes,Place de Clichy,"48.84652,2.34967",01/07/2025 12:46
133,30,Place de Clichy,Gare du Nord,"48.84028,2.34168",01/07/2025 12:51
133,30,Gare du Nord,Gare de l'Est,"48.84615,2.35436",01/07/2025 12:56
134,30,Porte Maillot,Ternes,"48.84917,2.34284",01/07/2025 12:44
134,30,Ternes,Place de Clichy,"48.84183,2.34371",01/07/2025 12:49
134,30,Place de Clichy,Gare du Nord,"48.84085,2.34561",01/07/2025 12:54
134,30,Gare du Nord,Gare de l'Est,"48.84491,2.34072",01/07/2025 12:59
135,30,Porte Maillot,Ternes,"48.84931,2.34374",01/07/2025 12:47
135,30,Ternes,Place de Clichy,"48.85836,2.35473",01/07/2025 12:52
135,30,Place de Clichy,Gare du Nord,"48.85271,2.34463",01/07/2025 12:57
135,30,Gare du Nord,Gare de l'Est,"48.84010,2.35434",01/07/2025 13:02
136,30,Porte Maillot,Ternes,"48.85841,2.35744",01/07/2025 12:50
136,30,Ternes,Place de Clichy,"48.85938,2.35447",01/07/2025 12:55
136,30,Place de Clichy,Gare du Nord,"48.85250,2.35099",01/07/2025 13:00
136,30,Gare du Nord,Gare de l'Est,"48.85819,2.35377",01/07/2025 13:05
137,30,Porte Maillot,Ternes,"48.84627,2.34921",01/07/2025 12:53
137,30,Ternes,Place de Clichy,"48.85582,2.34858",01/07/2025 12:58
137,30,Place de Clichy,Gare du Nord,"48.85909,2.35551",01/07/2025 13:03
137,30,Gare du Nord,Gare de l'Est,"48.84339,2.34745",01/07/2025 13:08
138,30,Porte Maillot,Ternes,"48.84200,2.35184",01/07/2025 12:56
138,30,Ternes,Place de Clichy,"48.84958,2.34707",01/07/2025 13:01
138,30,Place de Clichy,Gare du Nord,"48.85282,2.34544",01/07/2025 13:06
138,30,Gare du Nord,Gare de l'Est,"48.84388,2.35511",01/07/2025 13:11
139,30,Porte Maillot,Ternes,"48.84218,2.35221",01/07/2025 12:59
139,30,Ternes,Place de Clichy,"48.85040,2.35892",01/07/2025 13:04
139,30,Place de Clichy,Gare du Nord,"48.85512,2.34807",01/07/2025 13:09
139,30,Gare du Nord,Gare de l'Est,"48.84125,2.35956",01/07/2025 13:14
140,30,Porte Maillot,Ternes,"48.85178,2.35382",01/07/2025 13:02
140,30,Ternes,Place de Clichy,"48.84508,2.35563",01/07/2025 13:07
140,30,Place de Clichy,Gare du Nord,"48.84655,2.34565",01/07/2025 13:12
140,30,Gare du Nord,Gare de l'Est,"48.84098,2.34614",01/07/2025 13:17
141,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84217,2.34575",01/07/2025 13:05
142,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.85857,2.35165",01/07/2025 13:08
143,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.85611,2.35891",01/07/2025 13:11
144,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84891,2.35795",01/07/2025 13:14
145,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.85258,2.34333",01/07/2025 13:17
146,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84329,2.35367",01/07/2025 13:20
147,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84022,2.35832",01/07/2025 13:23
148,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.85610,2.34097",01/07/2025 13:26
149,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84687,2.34036",01/07/2025 13:29
150,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.84117,2.34409",01/07/2025 13:32
